TICKER,EX_DIVIDEND,DATE_PAYEMENT,VALUE
ABCA,2023-12-05,2023-12-07,"0,1"
ABCA,2023-10-10,2023-10-12,"0,1"
ABCA,2023-07-04,2023-07-06,"0,11"
ABCA,2023-04-18,2023-04-20,"0,1"
ABCA,2022-12-06,2022-12-08,"0,1"
ABEO,2023-07-27,2023-07-31,"0,33"
ABEO,2022-07-22,2022-07-26,"0,4"
ABEO,2019-07-29,2019-07-31,"0,32"
ABEO,2018-07-27,2018-07-31,"0,31"
ABEO,2017-07-27,2017-07-31,"0,48"
AC,2023-05-23,2023-05-25,"0,71"
AC,2019-05-10,2019-05-14,"1,05"
AC,2018-05-11,2018-05-15,"1,05"
AC,2017-05-10,2017-06-06,"1,05"
ACA,2023-05-30,2023-06-01,"1,05"
ACA,2022-05-27,2022-06-01,"1,05"
ACA,2021-05-18,2021-06-09,"0,8"
ACA,2019-05-24,2019-05-28,"0,69"
ACA,2018-05-22,2018-05-24,"0,63"
ADP,2023-06-05,2023-06-07,"3,13"
ADP,2019-12-06,2019-12-10,"0,7"
ADP,2019-06-07,2019-06-11,"3,0"
ADP,2018-12-06,2018-12-10,"0,7"
ADP,2018-06-06,2018-06-08,"2,76"
ADUX,2007-05-02,2007-05-02,"0,1"
AF,2008-07-14,2008-07-17,"0,58"
AF,2007-07-18,2007-07-18,"0,48"
AF,2006-07-18,2006-07-18,"0,3"
AF,2005-07-19,2005-07-19,"0,15"
AF,2004-09-27,2004-09-27,"0,08"
AI,2023-05-15,2023-05-17,"2,95"
AI,2022-05-16,2022-05-18,"2,64"
AI,2021-05-17,2021-05-19,"2,5"
AI,2020-05-11,2020-05-13,"2,45"
AI,2019-05-20,2019-05-22,"2,41"
AKE,2023-05-15,2023-05-17,"3,4"
AKE,2022-05-23,2022-05-25,"3,0"
AKE,2021-05-26,2021-05-28,"2,5"
AKE,2020-05-22,2020-05-27,"2,2"
AKE,2019-05-24,2019-05-29,"2,5"
AKW,2023-06-08,2023-06-12,"0,3"
AKW,2022-06-08,2022-06-10,"0,45"
AKW,2021-06-08,2021-06-10,"0,45"
AKW,2020-06-08,2020-06-10,"0,2"
AKW,2019-06-05,2019-06-07,"0,3"
ALD,2023-05-31,2023-06-02,"1,06"
ALD,2022-05-31,2022-06-02,"1,08"
ALD,2021-05-28,2021-06-01,"0,63"
ALD,2020-05-29,2020-06-03,"0,63"
ALD,2019-05-29,2019-05-31,"0,58"
ALO,2023-07-17,2023-09-07,"0,25"
ALO,2022-07-20,2022-08-26,"0,25"
ALO,2021-08-02,2021-08-31,"0,25"
ALO,2018-07-20,2018-07-24,"0,35"
ALO,2017-07-07,2017-07-11,"0,25"
ALTA,2023-06-12,2023-07-04,"0,16"
ALTA,2022-05-27,2022-05-31,"6,19"
ALTA,2021-07-05,2021-07-26,"6,1"
AM,2023-05-19,2023-05-23,"3,0"
AM,2022-05-23,2022-05-25,"2,49"
AM,2021-05-18,2021-05-20,"12,3"
AM,2019-05-22,2019-05-24,"21,2"
AM,2018-05-30,2018-06-27,"15,3"
AMUN,2023-05-22,2023-05-24,"4,1"
AMUN,2022-05-23,2022-05-25,"4,1"
AMUN,2021-05-13,2021-05-17,"2,9"
AMUN,2019-05-24,2019-05-28,"2,9"
AMUN,2018-05-22,2018-05-24,"2,5"
ANTIN,2023-11-14,2023-11-16,"0,32"
ANTIN,2023-06-08,2023-06-12,"0,09"
ANTIN,2022-11-11,2022-11-15,"0,14"
ANTIN,2022-05-26,2022-05-30,"0,08"
ASY,2023-07-05,2023-07-07,"1,0"
ASY,2022-07-06,2022-07-08,"1,0"
ASY,2021-07-06,2021-07-08,"1,0"
ASY,2020-07-08,2020-07-10,"1,0"
ASY,2019-06-17,2019-06-19,"1,0"
ATE,2023-07-04,2023-07-06,"1,5"
ATE,2022-06-27,2022-06-29,"1,3"
ATE,2021-06-02,2021-06-04,"1,0"
